Title,Location,State,City,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
Blue Jasmine,Heald College,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Blue Jasmine,Marina Blvd from Leguna to Baker,CA,San Francisco,37.806402,-122.437461,1,street_center,,Marina Blvd,San Francisco,CA,San Francisco County,94123
Blue Jasmine,330 Santa Clara Ave.,CA,San Francisco,37.7342094,-122.4664987,1,rooftop,330,Santa Clara Ave,San Francisco,CA,San Francisco County,94127
Blue Jasmine,200 Post St.,CA,San Francisco,37.7889323,-122.4055127,1,rooftop,200,Post St,San Francisco,CA,San Francisco County,94108
Blue Jasmine,2179 48th Ave,CA,San Francisco,37.7455528,-122.5072581,1,rooftop,2179,48th Ave,San Francisco,CA,San Francisco County,94116
Boys and Girls,1122 Folsom Street,CA,San Francisco,37.776392,-122.4086856,1,rooftop,1122,Folsom St,San Francisco,CA,San Francisco County,94103
Boys and Girls,Golden Gate Bridge,CA,San Francisco,37.810977,-122.477578,1,street_center,,Golden Gate Brg,San Francisco,CA,San Francisco County,94129
Boys and Girls,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Boys and Girls,628 Cole Street,CA,San Francisco,37.7691683,-122.4503029,1,rooftop,628,Cole St,San Francisco,CA,San Francisco County,94117
Boys and Girls,Alcatraz Island,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Boys and Girls,Aquatic Park (Jefferson Street),CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Boys and Girls,Chinatown,CA,San Francisco,37.794993,-122.40767,1,street_center,,Old Chinatown Ln,San Francisco,CA,San Francisco County,94108
Boys and Girls,Lombard Street,CA,San Francisco,37.802201,-122.417966,1,street_center,,Lombard St,San Francisco,CA,San Francisco County,94109
Boys and Girls,City Hall,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Boys and Girls,Coit Tower,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Boys and Girls,Ferry Building,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Boys and Girls,Fisherman's Wharf,CA,San Francisco,37.808966,-122.415843,1,street_center,,Fishermans Wharf,San Francisco,CA,San Francisco County,94133
Broken-A Modern Love Story,Ina Coolbrith Park (1700 Taylor Street),CA,San Francisco,37.724083,-122.423983,1,street_center,,Ina Ct,San Francisco,CA,San Francisco County,94112
Broken-A Modern Love Story,0-100 block Halleck Street,CA,San Francisco,37.795219,-122.420782,0.33,place,,,San Francisco,CA,San Francisco County,94109
Bullitt,Café Cantata (2040 Union Street),CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Bullitt,Bayshore Blvd near Cesar Chavez (Bayview),CA,San Francisco,37.725516,-122.401471,1,street_center,,Bayshore Blvd,San Francisco,CA,San Francisco County,94134
Bullitt,Taylor & Vallejo Streets (Russian Hill),CA,San Francisco,37.797957,-122.413744,1,intersection,,Taylor St,San Francisco,CA,San Francisco County,94133
Bullitt,"SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)",CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Bullitt,McClaren Park (Vistacon Valley),CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Bullitt,Mark Hopkins Hotel (999 California Street),CA,San Francisco,37.790199,-122.404671,1,street_center,,Mark Ln,San Francisco,CA,San Francisco County,94108
Bullitt,Marina Green (Marina District),CA,San Francisco,37.805368,-122.44565,1,street_center,,Marina Blvd,San Francisco,CA,San Francisco County,94123
Bullitt,Mansell & University Streets (Vistacon Valley),CA,San Francisco,37.719074,-122.41099,1,intersection,,Mansell St,San Francisco,CA,San Francisco County,94134
Bullitt,Larkin & Francisco Streets (Russian Hill),CA,San Francisco,37.803546,-122.42183,1,intersection,,Francisco St,San Francisco,CA,San Francisco County,94109
Bullitt,Larkin & Chestnut Streets (Russian Hill),CA,San Francisco,37.802695,-122.42148,1,intersection,,Chestnut St,San Francisco,CA,San Francisco County,94109
Bullitt,Kennedy Hotel (226 Embarcadero at Howard Street),CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Bullitt,John Muir Drive (Lake Merced),CA,San Francisco,37.708232,-122.486042,1,street_center,,John Muir Dr,San Francisco,CA,San Francisco County,94132
Bullitt,Intersection of York & Peralta (Bernal Heights),CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Bullitt,Filbert & Taylor Streets (Russian Hill),CA,San Francisco,37.800757,-122.414303,1,intersection,,Filbert St,San Francisco,CA,San Francisco County,94133
Bullitt,Enrico's Café (504 Broadway),CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Bullitt,Columbus & Lombard Streets (North Beach),CA,San Francisco,37.802743,-122.413719,0.98,intersection,,Columbus Ave,San Francisco,CA,San Francisco County,94133
Bullitt,Cesar Chavez & Mission Street (Mission),CA,San Francisco,37.748166,-122.418221,1,intersection,,Cesar Chavez St,San Francisco,CA,San Francisco County,94110
Bullitt,"Candlestick Park Exit, Highway 101",CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Bullitt,Brocklebank Apartments (1000 Mason Street),CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Bullitt,Bay Bridge,CA,San Francisco,37.814343,-122.358463,1,street_center,,Bay Brg,San Francisco,CA,San Francisco County,94130
Bullitt,2700 Vallejo Street (Pacific Heights),CA,San Francisco,37.7946325,-122.4420266,1,rooftop,2700,Vallejo St,San Francisco,CA,San Francisco County,94123
Bullitt,20th & Vermont Streets (Potrero Hill),CA,San Francisco,37.759558,-122.404011,1,intersection,,20th St,San Francisco,CA,San Francisco County,94107
Bullitt,1153-57 Taylor Street,CA,San Francisco,37.783051121951,-122.41073221951,1,range_interpolation,1153-057,Taylor St,San Francisco,CA,San Francisco County,94102
Burglar,California Academy of Sciences (Golden Gate Park),CA,San Francisco,37.787438,-122.445402,1,street_center,,California St,San Francisco,CA,San Francisco County,94115
Burglar,1400 18th Street,CA,San Francisco,37.7626835,-122.3968488,1,rooftop,1400,18th St,San Francisco,CA,San Francisco County,94107
Burglar,1627 Haight Street,CA,San Francisco,37.769724333333,-122.44915641667,1,range_interpolation,1627,Haight St,San Francisco,CA,San Francisco County,94117
Burglar,Green Valley Restaurant (510 Green Street Near Grant),CA,San Francisco,37.798394,-122.417829,1,street_center,,Green St,San Francisco,CA,San Francisco County,94109
By Hook or By Crook,"Department of Public Health (101 Grove Street at Polk, Civic Center)",CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
By Hook or By Crook,"Royan Hotel (405 Valencia Street, Mission District)",CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
By Hook or By Crook,The Lexington Club (3464 19th Street at Lexington),CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Can't Stop the Music,101 Henry Adams Place,CA,San Francisco,37.7681092,-122.4035207,1,rooftop,101,Henry Adams St,San Francisco,CA,San Francisco County,94103
Casualties of War,Mission Delores Park (Mission District) via J-Church MUNI Train,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Chan is Missing,"Li Po (916 Grant Avenue at Washington, Chinatown)",CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Chan is Missing,Golden Dragon Restaurant (816 Washington Street at Grant),CA,San Francisco,37.791934,-122.415475,1,street_center,,Golden Ct,San Francisco,CA,San Francisco County,94109
Cherish,387 Fair Oaks at 25th Street,CA,San Francisco,37.750304,-122.42383,1,intersection,,25th St,San Francisco,CA,San Francisco County,94110
Chu Chu and the Philly Flash,22nd and Carolina Streets (Potrero Hill),CA,San Francisco,37.795219,-122.420782,0.33,place,,,San Francisco,CA,San Francisco County,94109
Chu Chu and the Philly Flash,"Fairmont Hotel (950 Mason Street, Nob Hill)",CA,San Francisco,37.738952,-122.425815,1,street_center,,Fairmount St,San Francisco,CA,San Francisco County,94131
Chu Chu and the Philly Flash,Transbay Terminal (Mission Street at 1st Street),CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
City of Angels,San Francisco Public Library Main Branch (100 Larkin Street),CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Class Action,Bix Restaurant (56 Gold Street),CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Class Action,City Hall,CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
Class Action,"Mission Delores (3321 16th Street, Mision District)",CA,San Francisco,37.795219,-122.420782,1,place,,,San Francisco,CA,San Francisco County,94109
